Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",1206,2,22uF,C12891
"C10, C11, C8, C9",0603,4,0.01uF,C57112
"C2, C4",1206,2,10uF,C13585
"C5, C6",0603,2,1uF,C15849
C7,0603,1,0.1uF,C14663
"D1, D2",0603,2,LED,C72041
"FB1, FB2",0805,2,FerriteBead_Small,C1017
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,M3,
"H5, H6, H7, H8",SMTSO25,4,SMTSO2530CTJ,C2915631
"J1, J2",BUS_PCI_Express_Mini_Full,2,91304-56-052R2,C404121
J3,PinHeader_2x05_P2.54mm_Vertical_SMD,1,USB,C3294463
"R1, R2, R4, R5, R6, R7",0603,6,3.3k,C22978
R3,0603,1,1M,C22935
"U1, U2",SOT-223-3_TabPin2,2,AZ1117H-3.3,C92517
